"mz"	"mzmin"	"mzmax"	"rt"	"rtmin"	"rtmax"	"npeaks"	"."	"IL_161213_6301"	"IL_161213_6302"	"isotopes"	"adduct"	"pcgroup"
727.071244303026	727.071244303026	727.071244303026	641.026720598515	641.026720598515	641.026720598515	1	1	72.1123839838583	19.2885862326759	"[37][M]+"	""	"2"
727.318780475883	727.318780475883	727.318780475883	2278.34260988307	2278.34260988307	2278.34260988307	1	1	50.644961976903	27.2021293563029	""	""	"16"
728.094212686312	728.094212686312	728.094212686312	641.026720598515	641.026720598515	641.026720598515	1	1	37.3685577546731	3.62849050402995	"[37][M+1]+"	""	"2"
729.162809150132	729.162809150132	729.162809150132	323.349928712266	323.349928712266	323.349928712266	1	1	51.4099828984531	22.4116791468441	""	""	"11"
729.319381819841	729.319381819841	729.319381819841	2276.10001929838	2276.10001929838	2276.10001929838	1	1	51.9952560771818	30.591167093703	""	""	"16"
731.136624547571	731.136624547571	731.136624547571	323.849942497743	323.849942497743	323.849942497743	1	1	38.4490992374074	38.1605712636234	""	""	"11"
731.15224456907	731.15224456907	731.15224456907	323.349928712266	323.349928712266	323.349928712266	1	1	38.4534908938758	38.3787498511687	""	""	"11"
732.332500277204	732.332500277204	732.332500277204	2276.10001929838	2276.10001929838	2276.10001929838	1	1	38.5331879444337	29.4179898242415	""	""	"16"
736.330838625682	736.330838625682	736.330838625682	2276.10001929838	2276.10001929838	2276.10001929838	1	1	41.174921211369	25.306167056422	""	""	"16"
736.490662651339	736.490019766629	736.49130553605	2105.20020158262	2104.03739167058	2106.36301149465	2	2	659.402899874662	419.798963348469	"[200][M]+"	""	"46"
737.492606749045	737.492606749045	737.492606749045	2105.82364960527	2105.82364960527	2105.82364960527	1	1	373.468520665483	209.258105467543	"[200][M+1]+"	""	"46"
738.502240478837	738.502240478837	738.502240478837	2115.98040849761	2115.98040849761	2115.98040849761	1	1	245.091721141015	317.056444342015	""	""	"32"
739.181947450649	739.181947450649	739.181947450649	323.349928712266	323.349928712266	323.349928712266	1	1	44.3429369103459	7.21082784004113	""	""	"11"
