"mz"	"mzmin"	"mzmax"	"rt"	"rtmin"	"rtmax"	"npeaks"	"netCDF_b1"	"IL_130512_1001"	"IL_130512_1002"	"isotopes"	"adduct"	"pcgroup"
191.054870522706	191.054870522706	191.054870522706	2271.49649249982	2271.49649249982	2271.49649249982	1	1	354.808311694554	200.632736569982	""	""	"37"
193.070907749833	193.070907749833	193.070907749833	1886.18019616509	1886.18019616509	1886.18019616509	1	1	24.5535616547493	377.754425749819	""	""	"309"
194.082329926405	194.082000266734	194.082659586076	1631.169945691	1630.437848378	1631.902043004	2	2	1894.18216514891	583.979003212473	"[176][M]-"	""	"91"
194.07756754059	194.076617271846	194.078517809334	1886.05381911791	1885.92744207072	1886.18019616509	2	2	294.648828573874	3230.37262641843	"[20][M]-"	"[M-H-CO]- 223.083"	"4"
194.082153199449	194.082153199449	194.082153199449	1654.50310850485	1654.50310850485	1654.50310850485	1	1	302.404627517824	188.445427712603	""	""	"466"
194.077581337775	194.077581337775	194.077581337775	1966.99647804043	1966.99647804043	1966.99647804043	1	1	776.77286921998	618.703151935944	""	""	"442"
195.066518305884	195.066298261175	195.066738350593	993.434806264141	993.101946004266	993.767666524016	2	2	3866.34037044407	348.767856052626	"[115][M]-"	"[M+Cl]- 160.096 [M-H-C6H10O5]- 358.138"	"42"
195.083742896844	195.083742896844	195.083742896844	1966.99647804043	1966.99647804043	1966.99647804043	1	1	303.532923245225	556.328554538777	""	""	"442"
195.08542606785	195.08542606785	195.08542606785	1630.437848378	1630.437848378	1630.437848378	1	1	273.807852108254	120.372085116719	"[176][M+1]-"	""	"91"
195.138698048958	195.138698048958	195.138698048958	1586.32591271133	1586.32591271133	1586.32591271133	1	1	290.257878833108	48.1547881673704	""	""	"222"
195.080727128558	195.080727128558	195.080727128558	1886.18019616509	1886.18019616509	1886.18019616509	1	1	96.5728404267901	529.124026527487	"[20][M+1]-"	""	"310"
196.06227183182	196.06227183182	196.06227183182	2269.25536842504	2269.25536842504	2269.25536842504	1	1	988.485104019523	365.495193500976	""	"[M-H-NH3]- 214.097"	"37"
196.070637521189	196.070637521189	196.070637521189	993.101946004266	993.101946004266	993.101946004266	1	1	452.24174696143	40.402989047697	"[115][M+1]-"	""	"42"
196.076344047617	196.076344047617	196.076344047617	1886.18019616509	1886.18019616509	1886.18019616509	1	1	25.8473150726063	231.121262285333	"[20][M+2]-"	""	"4"
197.065591404384	197.065591404384	197.065591404384	2268.13538168592	2268.13538168592	2268.13538168592	1	1	431.484037049647	204.637125377406	""	""	"224"
198.078121726072	198.077558829047	198.078684623097	2270.45423757804	2270.37650164977	2270.53197350632	2	2	1072.217214305	410.077687448356	""	"[M-H-CH3]- 214.097"	"37"
199.076697900919	199.076697900919	199.076697900919	2270.37650164977	2270.37650164977	2270.37650164977	1	1	649.775188401291	276.975918927357	""	"[M-H-CH2]- 214.097"	"37"
200.093615521404	200.093615521404	200.093615521404	2270.37650164977	2270.37650164977	2270.37650164977	1	1	755.991754828439	221.648414497793	""	""	"427"
201.090939014679	201.090939014679	201.090939014679	2270.37650164977	2270.37650164977	2270.37650164977	1	1	420.581225001952	132.00457084734	""	""	"434"
